NIM,Nama Mahasiswa,Kode Matakuliah,Nama Matakuliah,Grade,Tahun Ajaran
2401001,Ahmad Rizki,IFT101,Pemrograman Dasar,A,2024/2025
2401002,Budi Santoso,IFT101,Pemrograman Dasar,B,2024/2025
2401003,Citra Dewi,IFT102,Inovasi Digital,A,2024/2025
2401004,Dedi Gunawan,IFT102,Inovasi Digital,C,2024/2025
2401005,Eka Putri,IFT201,Struktur Data,B,2024/2025
2401001,Ahmad Rizki,IFT102,Inovasi Digital,B,2024/2025
2401002,Budi Santoso,IFT201,Struktur Data,C,2024/2025
2401003,Citra Dewi,IFT201,Struktur Data,A,2024/2025
2401004,Dedi Gunawan,IFT202,Basis Data,B,2024/2025
2401005,Eka Putri,IFT202,Basis Data,A,2024/2025
